timestamp,signal_dbm,quality,bitrate,connected
2026-04-01 15:14:46,-66,44/70,72.2 MBit/s,1
2026-04-01 15:14:48,-66,44/70,72.2 MBit/s,1
2026-04-01 15:14:49,-65,45/70,24.0 MBit/s,1
2026-04-01 15:14:50,-64,46/70,24.0 MBit/s,1
2026-04-01 15:14:51,-64,46/70,24.0 MBit/s,1
2026-04-01 15:14:52,-63,47/70,72.2 MBit/s,1
2026-04-01 15:14:53,-63,47/70,72.2 MBit/s,1
2026-04-01 15:14:54,-64,46/70,72.2 MBit/s,1
2026-04-01 15:14:55,-67,43/70,72.2 MBit/s,1
2026-04-01 15:14:56,-65,45/70,72.2 MBit/s,1
2026-04-01 15:14:57,-66,44/70,65.0 MBit/s,1
2026-04-01 15:14:58,-65,45/70,72.2 MBit/s,1
2026-04-01 15:14:59,-63,48/70,72.2 MBit/s,1
2026-04-01 15:15:00,-64,48/70,72.2 MBit/s,1
2026-04-01 15:15:01,-66,44/70,72.2 MBit/s,1
